"Name","Id","CPU","WorkingSet","StartTime"
"AggregatorHost","3412","0","4792320","29/04/2025 1:48:08"
"csrss","468","0,21875","6307840","28/04/2025 19:12:25"
"csrss","552","0,125","5943296","28/04/2025 19:12:25"
"dfsrs","2792","0,625","24915968","29/04/2025 1:48:07"
"dns","2776","1,5","130260992","29/04/2025 1:48:07"
"dwm","836","0,859375","50225152","28/04/2025 19:12:27"
"fontdrvhost","3228","0,046875","4272128","29/04/2025 1:48:23"
"fontdrvhost","3232","0,015625","4161536","29/04/2025 1:48:23"
"Idle","0",,"8192",
"ismserv","2784","0","6385664","29/04/2025 1:48:07"
"LogonUI","472","0,34375","52621312","28/04/2025 19:12:27"
"lsass","700","13,8125","67710976","28/04/2025 19:12:25"
"Microsoft.ActiveDirectory.WebServices","2824","0,90625","50364416","29/04/2025 1:48:07"
"MicrosoftEdgeUpdate","4200","0,03125","4669440","29/04/2025 1:49:41"
"msdtc","4132","0,078125","10682368","29/04/2025 1:49:41"
"MsMpEng","2916","16,140625","197025792","29/04/2025 1:48:07"
"NisSrv","3960","0,03125","10788864","29/04/2025 1:48:10"
"Registry","124","0,5625","72441856","28/04/2025 19:12:20"
"services","684","0,875","13606912","28/04/2025 19:12:25"
"smss","364","0,125","1286144","28/04/2025 19:12:21"
"svchost","416","0","5537792","28/04/2025 19:12:27"
"svchost","716","0,015625","7077888","28/04/2025 19:12:27"
"svchost","916","0,328125","14409728","28/04/2025 19:12:27"
"svchost","964","0,71875","10477568","28/04/2025 19:12:27"
"svchost","980","0,078125","8491008","28/04/2025 19:12:27"
"svchost","1016","0,0625","7585792","28/04/2025 19:12:27"
"svchost","1028","0,03125","7352320","28/04/2025 19:12:27"
"svchost","1112","0","6164480","28/04/2025 19:12:27"
"svchost","1124","0,171875","7311360","28/04/2025 19:12:27"
"svchost","1168","0,796875","10350592","28/04/2025 19:12:27"
"svchost","1264","0","7159808","29/04/2025 1:47:58"
"svchost","1300","0,40625","17039360","28/04/2025 19:12:27"
"svchost","1320","0,21875","18911232","28/04/2025 19:12:27"
"svchost","1428","0,046875","12472320","28/04/2025 19:12:27"
"svchost","1440","0,125","15622144","29/04/2025 1:49:41"
"svchost","1484","0,0625","11616256","28/04/2025 19:12:27"
"svchost","1496","0,046875","8101888","28/04/2025 19:12:27"
"svchost","1508","0","5935104","28/04/2025 19:12:27"
"svchost","1520","0,4375","13852672","28/04/2025 19:12:27"
"svchost","1624","0,078125","7811072","29/04/2025 1:47:58"
"svchost","1644","0,09375","10911744","29/04/2025 1:47:58"
"svchost","1708","0","5976064","29/04/2025 1:47:58"
"svchost","1752","0,09375","11988992","29/04/2025 1:47:58"
"svchost","1760","0,578125","16080896","29/04/2025 1:47:58"
"svchost","1792","0,09375","9060352","29/04/2025 1:47:58"
"svchost","1868","0","8814592","29/04/2025 1:47:58"
"svchost","2068","0,234375","9371648","29/04/2025 1:47:58"
"svchost","2208","0,015625","7802880","29/04/2025 1:47:58"
"svchost","2276","0,09375","11743232","29/04/2025 1:47:58"
"svchost","2460","0","7413760","29/04/2025 1:47:58"
"svchost","2512","0,0625","13271040","29/04/2025 1:48:07"
"svchost","2520","0,0625","11182080","29/04/2025 2:14:21"
"svchost","2660","0,125","8982528","29/04/2025 1:48:07"
"svchost","2740","0,21875","13402112","29/04/2025 1:48:07"
"svchost","2748","1,09375","31240192","29/04/2025 1:48:07"
"svchost","2760","0,09375","6160384","29/04/2025 1:48:07"
"svchost","2800","0","7303168","29/04/2025 1:48:07"
"svchost","2860","0,03125","6893568","29/04/2025 1:48:07"
"svchost","2912","0,0625","11948032","29/04/2025 1:49:42"
"svchost","2940","1,4375","20987904","29/04/2025 1:48:07"
"svchost","2968","0,03125","11120640","29/04/2025 1:48:07"
"svchost","3040","0,421875","16785408","29/04/2025 1:48:07"
"svchost","3200","0","10747904","29/04/2025 1:49:41"
"svchost","4224","4,34375","15863808","29/04/2025 1:49:41"
"svchost","4228","0,0625","14589952","29/04/2025 1:48:54"
"svchost","4280","0,03125","11689984","29/04/2025 1:49:41"
"svchost","4376","0","7282688","29/04/2025 1:48:23"
"svchost","4384","0,078125","10805248","29/04/2025 1:58:29"
"System","4","13,6875","126976","28/04/2025 19:12:21"
"VBoxService","1412","0,125","6701056","28/04/2025 19:12:27"
"vds","3344","0,203125","11456512","29/04/2025 1:48:08"
"wininit","544","0,0625","7176192","28/04/2025 19:12:25"
"winlogon","612","0","11046912","28/04/2025 19:12:25"
"wlms","2956","0,03125","3706880","29/04/2025 1:48:07"
"WmiPrvSE","5496","0,0625","13545472","29/04/2025 10:36:12"
"wsmprovhost","1060","0,1875","72400896","29/04/2025 3:28:44"
"wsmprovhost","3224","0,46875","137048064","29/04/2025 3:34:15"
"wsmprovhost","4072","1,0625","146300928","29/04/2025 10:40:18"
"wsmprovhost","4860","0,546875","131051520","29/04/2025 3:32:18"
"wsmprovhost","5448","0,53125","138133504","29/04/2025 9:44:35"
"wsmprovhost","6108","1,3125","147120128","29/04/2025 9:52:35"
